First_Name,Middle_Name,Last_Name,DOB,Member_of_LGBTQI,Breastfeeding,Pregnant,Practicing_Family_Planning,Gender,Relationship,Civil_Status,Highest_Educational_Attainment,Place_of_Birth,Blood_Type,Occupation,Government_Programs,IP_Affiliations,Disabilities,Family_Planning_Methods,Food_Production_Activities,Trees_in_Vicinity,Types_of_Toilet,Livelihood_Equipments,Garbage_Disposals,Water_Sources,Members_Count,Tenure,Consuming_Fortified_Food,Residence_Address,House_Level,Consuming_Iodized_Salt,Household_Number,Dwelling
Vincenzo,Floyd,Carlson,1985-01-15,no,,no,yes,male,household_head,single,college_graduate,manila,A,,phil_health,,,condom,,strong,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,2_storeys,Yes,15,strong_materials__concrete_semi_concrete
Arnold,Cain,Dela Cruz,1975-03-14,no,,no,yes,male,household_head,single,college_graduate,manila,B,,phil_health,,,condom,,,water_sealed,,collected,deepwell,1,own_house_rent_lot,Yes,,3_storeys,Yes,12,
Reon,Carr,Juan,1965-10-12,no,,no,yes,male,household_head,single,college_graduate,roxas,AB,,phil_health,,,condom,,,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,1_storey,Yes,9,
Shelly,Kemp,Reyes,1990-04-03,yes,,no,yes,female,spouse,married,college_graduate,virac,O,,phil_health,,,pills,,,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,2_storeys,Yes,30,
Alfred,Welch,Ramos,1985-06-01,yes,,no,yes,male,household_head,married,college_graduate,virac,O,,phil_health,,,condom,,,water_sealed,,collected,pipe,1,own_house_rent_lot,Yes,,3_storeys,Yes,55,
Dennis,Greer,Cruz,1985-01-15,no,,no,yes,male,household_head,single,college_graduate,roxas,B,,phil_health,,,condom,,strong,water_sealed,,collected,deepwell,1,own_house_rent_lot,No,,1_storey,Yes,9,
Rick,Barry,Gonzales,1975-03-14,yes,,no,yes,male,household_head,married,college_graduate,manila,A,,phil_health,,,condom,,,water_sealed,,collected,pipe,1,own_house_rent_lot,Yes,,2_storeys,Yes,11,
Dianne,Martin,Delos Reyes,1965-10-12,no,,no,yes,female,household_head,single,college_graduate,cavite,O,,phil_health,,,pills,,,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,3_storeys,Yes,2,strong_materials__concrete_semi_concrete
Linda,Moran,Gonzales,1990-04-03,no,,no,no,female,household_head,married,college_graduate,manila,B,,phil_health,,,,,,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,1_storey,Yes,1,
Ricardo,Reid,Lopez,1985-06-01,yes,,no,yes,male,household_head,married,college_graduate,manila,A,,phil_health,,,,,,water_sealed,,collected,deepwell,1,own_house_rent_lot,Yes,,2_storeys,Yes,3,
Gerald,Cruz,Perez,1985-01-15,yes,,no,yes,male,household_head,single,college_graduate,cavite,A,,phil_health,,,,,strong,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,3_storeys,Yes,94,strong_materials__concrete_semi_concrete
Alex,Arroyo,Aquino,1975-03-14,no,,no,no,male,household_head,single,college_graduate,palawan,B,,phil_health,,,,,strong,water_sealed,,collected,pipe,1,own_house_rent_lot,Yes,,1_storey,Yes,75,strong_materials__concrete_semi_concrete
Robert,Rush,De Leon,1965-10-12,yes,,no,yes,male,spouse,married,college_graduate,cebu,O,,phil_health,,,,,strong,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,2_storeys,Yes,23,
Richard,Reid,Castro,1990-04-03,no,,no,yes,male,household_head,married,college_graduate,cebu,O,,phil_health,,,,,strong,water_sealed,,collected,pipe,1,own_house_rent_lot,No,,3_storeys,Yes,33,
Judy,Wilcox,Medina,1985-06-01,no,,no,no,female,household_head,single,college_graduate,manila,O,,phil_health,,,,,strong,water_sealed,,collected,pipe,1,own_house_rent_lot,Yes,,1_storey,Yes,43,strong_materials__concrete_semi_concrete
